Datetime,Predicted_Temperature,Algorithm
2023-01-01,19.57515301526186,ARIMAX
2023-01-08,19.67591582423558,ARIMAX
2023-01-15,19.77380156164761,ARIMAX
2023-01-22,19.868892376267468,ARIMAX
2023-01-29,19.96126807127814,ARIMAX
2023-02-05,20.0510061712494,ARIMAX
2023-02-12,20.138181987198834,ARIMAX
2023-02-19,20.22286867979522,ARIMAX
2023-02-26,20.30513732075723,ARIMAX
2023-03-05,20.385056952499056,ARIMAX
2023-03-12,20.46269464607295,ARIMAX
2023-03-19,20.538115557457346,ARIMAX
2023-03-26,20.611382982237792,ARIMAX
2023-04-02,20.682558408726596,ARIMAX
2023-04-09,20.75170156956572,ARIMAX
2023-04-16,20.818870491856302,ARIMAX
2023-04-23,20.884121545856786,ARIMAX
2023-04-30,20.947509492290624,ARIMAX
2023-01-01,17.591435728684026,SARIMAX
2023-01-08,15.711329160660373,SARIMAX
2023-01-15,15.795267594180954,SARIMAX
2023-01-22,15.066854692856996,SARIMAX
2023-01-29,12.766840541404374,SARIMAX
2023-02-05,13.523984661822878,SARIMAX
2023-02-12,11.643991706307903,SARIMAX
2023-02-19,9.76388514835107,SARIMAX
2023-02-26,9.847823580973003,SARIMAX
2023-03-05,9.119410679729265,SARIMAX
2023-03-12,6.81939652826948,SARIMAX
2023-03-19,7.576540648688624,SARIMAX
2023-03-26,5.696547693173594,SARIMAX
2023-04-02,3.8164411352167664,SARIMAX
2023-04-09,3.9003795678386988,SARIMAX
2023-04-16,3.1719666665949604,SARIMAX
2023-04-23,0.8719525151351752,SARIMAX
2023-04-30,1.629096635554319,SARIMAX
2023-01-01,18.854095238095226,RandomForest
2023-01-08,17.808285714285724,RandomForest
2023-01-15,17.657857142857132,RandomForest
2023-01-22,19.62428571428572,RandomForest
2023-01-29,18.250999999999976,RandomForest
2023-02-05,21.46271428571429,RandomForest
2023-02-12,20.863142857142826,RandomForest
2023-02-19,22.548285714285722,RandomForest
2023-02-26,23.858857142857122,RandomForest
2023-03-05,24.993142857142836,RandomForest
2023-03-12,26.4272857142857,RandomForest
2023-03-19,27.345714285714294,RandomForest
2023-03-26,27.81642857142857,RandomForest
2023-04-02,29.922857142857165,RandomForest
2023-04-09,30.033857142857155,RandomForest
2023-04-16,29.463714285714303,RandomForest
2023-04-23,30.034000000000024,RandomForest
2023-04-30,30.208285714285697,RandomForest
2023-01-01,25.638147321316552,LassoRegressor
2023-01-08,25.638147321316552,LassoRegressor
2023-01-15,25.638147321316552,LassoRegressor
2023-01-22,25.638147321316552,LassoRegressor
2023-01-29,25.638147321316552,LassoRegressor
2023-02-05,25.853162451617806,LassoRegressor
2023-02-12,25.853162451617806,LassoRegressor
2023-02-19,25.853162451617806,LassoRegressor
2023-02-26,25.853162451617806,LassoRegressor
2023-03-05,26.068177581919056,LassoRegressor
2023-03-12,26.068177581919056,LassoRegressor
2023-03-19,26.068177581919056,LassoRegressor
2023-03-26,26.068177581919056,LassoRegressor
2023-04-02,26.283192712220306,LassoRegressor
2023-04-09,26.283192712220306,LassoRegressor
2023-04-16,26.283192712220306,LassoRegressor
2023-04-23,26.283192712220306,LassoRegressor
2023-04-30,26.283192712220306,LassoRegressor
