Datetime,Predicted_Temperature,Algorithm
2023-01-01,19.142423916689545,ARIMAX
2023-01-02,19.2737936053718,ARIMAX
2023-01-03,19.40209365601838,ARIMAX
2023-01-04,19.52780581566911,ARIMAX
2023-01-05,19.651004563340365,ARIMAX
2023-01-06,19.771741357334584,ARIMAX
2023-01-07,19.89006546167581,ARIMAX
2023-01-08,20.006025092805594,ARIMAX
2023-01-09,20.11966750023636,ARIMAX
2023-01-10,20.23103898910742,ARIMAX
2023-01-11,20.340184939231527,ARIMAX
2023-01-12,20.447149823595137,ARIMAX
2023-01-13,20.551977226480098,ARIMAX
2023-01-14,20.654709861222642,ARIMAX
2023-01-15,20.755389587617536,ARIMAX
2023-01-16,20.854057428974407,ARIMAX
2023-01-17,20.950753588833248,ARIMAX
2023-01-18,21.04551746734588,ARIMAX
2023-01-19,21.138387677330087,ARIMAX
2023-01-20,21.22940206000292,ARIMAX
2023-01-21,21.318597700399618,ARIMAX
2023-01-22,21.406010942484393,ARIMAX
2023-01-23,21.49167740395928,ARIMAX
2023-01-24,21.575631990777044,ARIMAX
2023-01-25,21.65790891136408,ARIMAX
2023-01-26,21.738541690559085,ARIMAX
2023-01-27,21.817563183273236,ARIMAX
2023-01-28,21.89500558787733,ARIMAX
2023-01-29,21.970900459321467,ARIMAX
2023-01-30,22.04527872199253,ARIMAX
2023-01-31,22.11817068231475,ARIMAX
2023-02-01,22.18960604109845,ARIMAX
2023-02-02,22.25961390564206,ARIMAX
2023-02-03,22.32822280159226,ARIMAX
2023-02-04,22.395460684567162,ARIMAX
2023-02-05,22.461354951547168,ARIMAX
2023-02-06,22.525932452038276,ARIMAX
2023-02-07,22.589219499012245,ARIMAX
2023-02-08,22.651241879628177,ARIMAX
2023-02-09,22.71202486573986,ARIMAX
2023-02-10,22.77159322419309,ARIMAX
2023-02-11,22.829971226917287,ARIMAX
2023-02-12,22.887182660815405,ARIMAX
2023-02-13,22.94325083745623,ARIMAX
2023-02-14,22.998198602572984,ARIMAX
2023-02-15,23.052048345372143,ARIMAX
2023-02-16,23.104822007656203,ARIMAX
2023-02-17,23.156541092764176,ARIMAX
2023-02-18,23.207226674333405,ARIMAX
2023-02-19,23.256899404886305,ARIMAX
2023-02-20,23.305579524245516,ARIMAX
2023-02-21,23.353286867780888,ARIMAX
2023-02-22,23.400040874491662,ARIMAX
2023-02-23,23.44586059492716,ARIMAX
2023-02-24,23.490764698949196,ARIMAX
2023-02-25,23.534771483339334,ARIMAX
2023-02-26,23.577898879254196,ARIMAX
2023-02-27,23.620164459531722,ARIMAX
2023-02-28,23.66158544585147,ARIMAX
2023-03-01,23.702178715751824,ARIMAX
2023-03-02,23.74196080950698,ARIMAX
2023-03-03,23.780947936866486,ARIMAX
2023-03-04,23.819155983660135,ARIMAX
2023-03-05,23.856600518270856,ARIMAX
2023-03-06,23.893296797978266,ARIMAX
2023-03-07,23.929259775175453,ARIMAX
2023-03-08,23.96450410346151,ARIMAX
2023-03-09,23.999044143612387,ARIMAX
2023-03-10,24.032893969432326,ARIMAX
2023-03-11,24.06606737348847,ARIMAX
2023-03-12,24.098577872730793,ARIMAX
2023-03-13,24.130438713999798,ARIMAX
2023-03-14,24.16166287942409,ARIMAX
2023-03-15,24.192263091710135,ARIMAX
2023-03-16,24.222251819326296,ARIMAX
2023-03-17,24.25164128158328,ARIMAX
2023-03-18,24.280443453613042,ARIMAX
2023-03-19,24.308670071248255,ARIMAX
2023-03-20,24.336332635804183,ARIMAX
2023-03-21,24.363442418765086,ARIMAX
2023-03-22,24.390010466376918,ARIMAX
2023-03-23,24.416047604148268,ARIMAX
2023-03-24,24.441564441261377,ARIMAX
2023-03-25,24.46657137489497,ARIMAX
2023-03-26,24.491078594460735,ARIMAX
2023-03-27,24.515096085755147,ARIMAX
2023-03-28,24.538633635028297,ARIMAX
2023-03-29,24.561700832971443,ARIMAX
2023-03-30,24.58430707862486,ARIMAX
2023-03-31,24.60646158320761,ARIMAX
2023-04-01,24.62817337387078,ARIMAX
2023-04-02,24.649451297375705,ARIMAX
2023-04-03,24.670304023698705,ARIMAX
2023-04-04,24.690740049563797,ARIMAX
2023-04-05,24.71076770190477,ARIMAX
2023-04-06,24.730395141258146,ARIMAX
2023-04-07,24.749630365088258,ARIMAX
2023-04-08,24.76848121104596,ARIMAX
2023-04-09,24.786955360162153,ARIMAX
2023-04-10,24.80506033997756,ARIMAX
2023-04-11,24.822803527609885,ARIMAX
2023-04-12,24.840192152759748,ARIMAX
2023-04-13,24.857233300656507,ARIMAX
2023-04-14,24.87393391494524,ARIMAX
2023-04-15,24.890300800516027,ARIMAX
2023-04-16,24.90634062627668,ARIMAX
2023-04-17,24.922059927870098,ARIMAX
2023-04-18,24.937465110337286,ARIMAX
2023-04-19,24.952562450727193,ARIMAX
2023-04-20,24.96735810065436,ARIMAX
2023-04-21,24.981858088805495,ARIMAX
2023-04-22,24.996068323395935,ARIMAX
2023-04-23,25.00999459457703,ARIMAX
2023-04-24,25.02364257679541,ARIMAX
2023-04-25,25.03701783110513,ARIMAX
2023-04-26,25.050125807433577,ARIMAX
2023-01-01,19.323846176403052,SARIMAX
2023-01-02,20.107399046507272,SARIMAX
2023-01-03,22.393650773591954,SARIMAX
2023-01-04,21.354778834674498,SARIMAX
2023-01-05,19.333317024882454,SARIMAX
2023-01-06,19.724877558403684,SARIMAX
2023-01-07,19.97970342864593,SARIMAX
2023-01-08,20.81528529507996,SARIMAX
2023-01-09,23.06231644187947,SARIMAX
2023-01-10,22.053009822810864,SARIMAX
