Datetime,Predicted_Temperature,Algorithm,Actual
1/1/2023,19.32384618,SARIMAX,19
1/2/2023,20.10739905,SARIMAX,18.6
1/3/2023,22.39365077,SARIMAX,18.2
1/4/2023,21.35477883,SARIMAX,17.4
1/5/2023,19.33331702,SARIMAX,16.4
1/6/2023,19.72487756,SARIMAX,17.9
1/7/2023,19.97970343,SARIMAX,19.9
1/8/2023,20.8152853,SARIMAX,19.4
1/9/2023,23.06231644,SARIMAX,18.8
1/10/2023,22.05300982,SARIMAX,19.4
1/11/2023,20.00926104,SARIMAX,21.3
1/12/2023,20.41762197,SARIMAX,19.5
1/13/2023,20.65978334,SARIMAX,16.2
1/14/2023,21.50491198,SARIMAX,15.2
1/15/2023,23.74474656,SARIMAX,14.3
1/16/2023,22.74086487,SARIMAX,15.9
1/17/2023,20.69302666,SARIMAX,15.7
1/18/2023,21.10447029,SARIMAX,16.9
1/19/2023,21.34430785,SARIMAX,18
1/20/2023,22.19118823,SARIMAX,17.5
1/21/2023,24.42970231,SARIMAX,16.8
1/22/2023,23.42681604,SARIMAX,15.8
1/23/2023,21.37822746,SARIMAX,15.4
1/24/2023,21.79023674,SARIMAX,14.6
1/25/2023,22.0296479,SARIMAX,14.8
1/26/2023,22.87684971,SARIMAX,15.3
1/27/2023,25.11512149,SARIMAX,16.1
1/28/2023,24.11241787,SARIMAX,17.4
1/29/2023,22.0636916,SARIMAX,17.6
1/30/2023,22.47580467,SARIMAX,18.1
1/31/2023,22.7151376,SARIMAX,19.3
2/1/2023,23.56239838,SARIMAX,18
2/2/2023,25.80062571,SARIMAX,18.1
2/3/2023,24.7979556,SARIMAX,18.9
2/4/2023,22.74920407,SARIMAX,20.7
2/5/2023,23.16133618,SARIMAX,21.3
2/6/2023,23.40065475,SARIMAX,24.7
2/7/2023,24.24792636,SARIMAX,21.8
2/8/2023,26.48614553,SARIMAX,21.6
2/9/2023,25.48348157,SARIMAX,22.8
2/10/2023,23.4347254,SARIMAX,23.7
2/11/2023,23.84686101,SARIMAX,23.2
2/12/2023,24.08617694,SARIMAX,22.5
2/13/2023,24.93345053,SARIMAX,20.8
2/14/2023,27.17166821,SARIMAX,21.6
2/15/2023,26.16900537,SARIMAX,22.2
2/16/2023,24.12024836,SARIMAX,22.2
2/17/2023,24.53238461,SARIMAX,22.5
2/18/2023,24.77170006,SARIMAX,22.1
2/19/2023,25.61897401,SARIMAX,22
2/20/2023,27.85719141,SARIMAX,23.6
2/21/2023,26.85452879,SARIMAX,24.4
2/22/2023,24.80577162,SARIMAX,23.3
2/23/2023,25.21790798,SARIMAX,23.3
2/24/2023,25.45722335,SARIMAX,23.3
2/25/2023,26.30449737,SARIMAX,24.5
2/26/2023,28.54271471,SARIMAX,25.3
2/27/2023,27.54005213,SARIMAX,24.6
2/28/2023,25.49129493,SARIMAX,24.3
3/1/2023,25.90343131,SARIMAX,24.4
3/2/2023,26.14274666,SARIMAX,26.3
3/3/2023,26.9900207,SARIMAX,26.7
3/4/2023,29.22823803,SARIMAX,27.4
3/5/2023,28.22557545,SARIMAX,27.2
3/6/2023,26.17681825,SARIMAX,27.9
3/7/2023,26.58895464,SARIMAX,26.7
3/8/2023,26.82826998,SARIMAX,26.7
3/9/2023,27.67554402,SARIMAX,27.5
3/10/2023,29.91376136,SARIMAX,27
3/11/2023,28.91109878,SARIMAX,27.1
3/12/2023,26.86234157,SARIMAX,27.3
3/13/2023,27.27447796,SARIMAX,25.4
3/14/2023,27.51379331,SARIMAX,25.4
3/15/2023,28.36106734,SARIMAX,26.5
3/16/2023,30.59928468,SARIMAX,26.5
3/17/2023,29.5966221,SARIMAX,27
3/18/2023,27.5478649,SARIMAX,26.6
3/19/2023,27.96000129,SARIMAX,25.9
3/20/2023,28.19931663,SARIMAX,25.1
3/21/2023,29.04659067,SARIMAX,24.8
3/22/2023,31.284808,SARIMAX,24.8
3/23/2023,30.28214543,SARIMAX,24
3/24/2023,28.23338822,SARIMAX,25.3
3/25/2023,28.64552461,SARIMAX,25.5
