tweet_id,text,favorite_count,retweet_count,created_at
1647637813205282816,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 16:27:20 +0000 2023
1647637744644943874,Forced Conversions are heinous crimes against humanity. It must be illegalized immediately and the perpetuators mus… https://t.co/VWgF12XYmZ,1,0,Sun Apr 16 16:27:04 +0000 2023
1647636754101587970,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 16:23:08 +0000 2023
1647636493824057348,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 16:22:06 +0000 2023
1647636368208588800,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 16:21:36 +0000 2023
1647632802282708994,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 16:07:26 +0000 2023
1647631033830080514,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 16:00:24 +0000 2023
1647627061794869255,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 15:44:37 +0000 2023
1647623526298574851,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 15:30:34 +0000 2023
1647614498013069312,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 14:54:42 +0000 2023
1647613418764115968,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 14:50:24 +0000 2023
1647613114832101378,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 14:49:12 +0000 2023
1647606925067157504,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 14:24:36 +0000 2023
1647603126407512064,"@najichanna Looking at the figures/facts, i think it is one of the pressing issue of the time. #forcedconversions https://t.co/i8bDP9F2E0",1,0,Sun Apr 16 14:09:30 +0000 2023
1647600625184829441,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 13:59:34 +0000 2023
1647600234250338306,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 13:58:01 +0000 2023
1647596679250743296,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 13:43:53 +0000 2023
1647592315328839681,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 13:26:33 +0000 2023
1647590635853979648,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 13:19:52 +0000 2023
1647590316445425665,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 13:18:36 +0000 2023
1647585050203164672,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 12:57:41 +0000 2023
1647581107137785860,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 12:42:01 +0000 2023
1647580526952304641,"RT @MalaikaSRaza: Bilawal seeks legislation to stop forced conversions, marriages | 
This was last year &amp; GOS already working on this legis…",0,20,Sun Apr 16 12:39:42 +0000 2023
1647580218406891526,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 12:38:29 +0000 2023
1647575150823608322,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 12:18:21 +0000 2023
1647566620846587904,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 11:44:27 +0000 2023
1647564263748239367,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 11:35:05 +0000 2023
1647560928894877696,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 11:21:50 +0000 2023
1647558221656104962,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 11:11:04 +0000 2023
1647552487560470528,"RT @MinorityVoice_: The man behind our miseries and the reason for rampant #ForcedConversions in Pakistan, especially Sindh.  #SayNoToForce…",0,2,Sun Apr 16 10:48:17 +0000 2023
1647551817470083073,"The man behind our miseries and the reason for rampant #ForcedConversions in Pakistan, especially Sindh.… https://t.co/p90QI2PeLQ",2,2,Sun Apr 16 10:45:37 +0000 2023
1647550930567544832,RT @FreedomTalkNet: An alarming surge in the kidnapping of #Hindu teenage #girls in #Sindh apparently for #ForcedConversions #ForcedMarriag…,0,4,Sun Apr 16 10:42:06 +0000 2023
