tweet_id,text,favorite_count,retweet_count,created_at
1.64764E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 16:21:36 +0000 2023
1.64763E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,58,Sun Apr 16 16:07:26 +0000 2023
1.64763E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,58,Sun Apr 16 16:00:24 +0000 2023
1.64763E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,58,Sun Apr 16 15:44:37 +0000 2023
1.64762E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 15:30:34 +0000 2023
1.64761E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,22,Sun Apr 16 14:54:42 +0000 2023
1.64761E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,58,Sun Apr 16 14:50:24 +0000 2023
1.64761E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 14:49:12 +0000 2023
1.64761E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 14:24:36 +0000 2023
1.6476E+18,najichanna Looking at the figuresfacts i think it is one of the pressing issue of the time forcedconversions,1,0,Sun Apr 16 14:09:30 +0000 2023
1.6476E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 13:59:34 +0000 2023
1.6476E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 13:58:01 +0000 2023
1.6476E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,22,Sun Apr 16 13:43:53 +0000 2023
1.64759E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,22,Sun Apr 16 13:26:33 +0000 2023
1.64759E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,22,Sun Apr 16 13:19:52 +0000 2023
1.64759E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,22,Sun Apr 16 13:18:36 +0000 2023
1.64759E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 12:57:41 +0000 2023
1.64758E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 12:42:01 +0000 2023
1.64758E+18,RT MalaikaSRaza Bilawal seeks legislation to stop forced conversions marriages This was last year amp GOS already working on this legis,0,20,Sun Apr 16 12:39:42 +0000 2023
1.64758E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,58,Sun Apr 16 12:38:29 +0000 2023
1.64758E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,22,Sun Apr 16 12:18:21 +0000 2023
1.64757E+18,RT HBhurgri My Hindu amp Christian brothers and sisters have been asking these questions for the last several years Do we have the answers,0,58,Sun Apr 16 11:44:27 +0000 2023
1.64756E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 11:35:05 +0000 2023
1.64756E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 11:21:50 +0000 2023
1.64756E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 11:11:04 +0000 2023
1.64755E+18,RT MinorityVoice The man behind our miseries and the reason for rampant ForcedConversions in Pakistan especially Sindh SayNoToForce,0,2,Sun Apr 16 10:48:17 +0000 2023
1.64755E+18,The man behind our miseries and the reason for rampant ForcedConversions in Pakistan especially Sindh,2,2,Sun Apr 16 10:45:37 +0000 2023
1.64755E+18,RT FreedomTalkNet An alarming surge in the kidnapping of Hindu teenage girls in Sindh apparently for ForcedConversions ForcedMarriag,0,4,Sun Apr 16 10:42:06 +0000 2023
1.64755E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 10:38:43 +0000 2023
1.64755E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 10:36:53 +0000 2023
1.64755E+18,RT HBhurgri Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls in the name,0,32,Sun Apr 16 10:29:36 +0000 2023
1.64755E+18,Men cheering in support of love marriage if a Hindu girl marry a Muslim man On contrary they kill Muslim girls i,157,32,Sun Apr 16 10:21:52 +0000 2023
1.64755E+18,Men cheering in support of love marriage if a Hindu girl marries a Muslim man On contrary they kill Muslim girls,0,0,Sun Apr 16 10:20:55 +0000 2023
1.64755E+18,Men cheering in support of love marriage if a Hindu girl marries a Muslim man On contrary they kill Muslim girls,0,0,Sun Apr 16 10:20:36 +0000 2023
1.64754E+18,RT voiceminority The man behind our miseries and the reason for rampant ForcedConversions in Pakistan especially Sindh SayNoToForce,0,67,Sun Apr 16 10:15:53 +0000 2023
1.64754E+18,VeengasJ for context I am talking about ForcedConversions of girls,0,0,Sun Apr 16 10:07:46 +0000 2023
